Key,Value
data,"{'classifier':   symbol                               token_address               latest_hour  ...      volume  average_order  __row_index
0   SEED  0x86f65121804d2cdbef79f9f072d4e0c2eebabc08 2025-02-22 10:00:00+00:00  ...   239616.35     868.175181            0
1  HEGIC  0x431402e8b9de9aa016c743880e04e517074d8cec 2025-02-22 10:00:00+00:00  ...  1540740.59    4465.914754            1
2    GNS  0x18c11fd286c5ec11c3b683caa813b77f5163a122 2025-02-22 10:00:00+00:00  ...  4493269.25     284.798710            2
3    HDN  0x3404149e9ee6f17fb41db1ce593ee48fbdcd9506 2025-02-22 10:00:00+00:00  ...    61441.98     139.324218            3
4   DOLA  0x6a7661795c374c0bfc635934efaddff3a7ee23b6 2025-02-22 10:00:00+00:00  ...   301178.45    1270.795148            4
5   USD+  0xe80772eaf6e2e18b651f160bc9158b2a5cafca65 2025-02-22 10:00:00+00:00  ...   977916.24      84.984465            5

[6 rows x 11 columns], 'portfolio':                          hour symbol     price  __row_index
0    2025-02-22T10:00:00.000Z   DOLA  0.995867            0
1    2025-02-22T10:00:00.000Z    GNS  1.600000            1
2    2025-02-22T10:00:00.000Z    HDN  0.027768            2
3    2025-02-22T10:00:00.000Z  HEGIC  0.029555            3
4    2025-02-22T10:00:00.000Z   SEED  0.476506            4
..                        ...    ...       ...          ...
145  2025-02-21T10:00:00.000Z    GNS  1.650000          145
146  2025-02-21T10:00:00.000Z    HDN  0.028892          146
147  2025-02-21T10:00:00.000Z  HEGIC  0.029889          147
148  2025-02-21T10:00:00.000Z   SEED  0.477340          148
149  2025-02-21T10:00:00.000Z   USD+  1.000000          149

[150 rows x 4 columns], 'data start': '2025-02-21 10:00:00', 'latest_hour': Timestamp('2025-02-22 10:00:00+0000', tz='UTC')}"
prices,"                               SEED     HEGIC   GNS       HDN      DOLA      USD+
hour                                                                             
2025-02-21 10:00:00+00:00  0.477340  0.029889  1.65  0.028892  0.992555  1.000000
2025-02-21 11:00:00+00:00  0.484340  0.030004  1.66  0.028120  0.992693  0.999898
2025-02-21 12:00:00+00:00  0.488541  0.029987  1.67  0.028148  0.991212  1.002000
2025-02-21 13:00:00+00:00  0.487386  0.030997  1.67  0.028224  0.991349  0.998968
2025-02-21 14:00:00+00:00  0.484974  0.031064  1.68  0.027674  0.991821  1.002000
2025-02-21 15:00:00+00:00  0.490402  0.030871  1.69  0.027447  0.994339  0.999488
2025-02-21 16:00:00+00:00  0.482823  0.030790  1.69  0.027464  0.993114  1.001000
2025-02-21 17:00:00+00:00  0.472472  0.030800  1.66  0.027527  0.992262  0.991812
2025-02-21 18:00:00+00:00  0.471825  0.030489  1.65  0.028144  0.993388  0.997787
2025-02-21 19:00:00+00:00  0.461760  0.030403  1.62  0.027558  0.994848  0.996918
2025-02-21 20:00:00+00:00  0.463383  0.030365  1.61  0.027559  0.994065  0.999981
2025-02-21 21:00:00+00:00  0.456889  0.029796  1.58  0.027454  0.990939  0.998363
2025-02-21 22:00:00+00:00  0.455322  0.029359  1.58  0.027416  0.992590  0.996923
2025-02-21 23:00:00+00:00  0.455322  0.029273  1.58  0.027483  0.993702  1.002000
2025-02-22 00:00:00+00:00  0.462019  0.029385  1.58  0.027974  0.995474  1.002000
2025-02-22 01:00:00+00:00  0.464893  0.029413  1.59  0.027983  0.994558  1.001000
2025-02-22 02:00:00+00:00  0.468904  0.029562  1.60  0.027921  0.994911  1.003000
2025-02-22 03:00:00+00:00  0.469367  0.029535  1.60  0.027918  0.993895  1.001000
2025-02-22 04:00:00+00:00  0.468981  0.029566  1.59  0.027925  0.996005  1.002000
2025-02-22 05:00:00+00:00  0.467059  0.029534  1.60  0.027934  0.995500  0.998309
2025-02-22 06:00:00+00:00  0.469486  0.029481  1.61  0.027527  0.995046  1.002000
2025-02-22 07:00:00+00:00  0.471105  0.029513  1.61  0.027955  0.995656  1.001000
2025-02-22 08:00:00+00:00  0.476053  0.029505  1.61  0.027960  0.995722  1.004000
2025-02-22 09:00:00+00:00  0.476172  0.029545  1.61  0.027797  0.995399  0.999647
2025-02-22 10:00:00+00:00  0.476506  0.029555  1.60  0.027768  0.995867  1.001000"
price data for model,"                         hour symbol     price  __row_index
0    2025-02-22T10:00:00.000Z   DOLA  0.995867            0
1    2025-02-22T10:00:00.000Z    GNS  1.600000            1
2    2025-02-22T10:00:00.000Z    HDN  0.027768            2
3    2025-02-22T10:00:00.000Z  HEGIC  0.029555            3
4    2025-02-22T10:00:00.000Z   SEED  0.476506            4
..                        ...    ...       ...          ...
145  2025-02-21T10:00:00.000Z    GNS  1.650000          145
146  2025-02-21T10:00:00.000Z    HDN  0.028892          146
147  2025-02-21T10:00:00.000Z  HEGIC  0.029889          147
148  2025-02-21T10:00:00.000Z   SEED  0.477340          148
149  2025-02-21T10:00:00.000Z   USD+  1.000000          149

[150 rows x 4 columns]"
assets,"['SEED', 'HEGIC', 'GNS', 'HDN', 'DOLA', 'USD+']"
sortino ratio,False
top,10
run date,2025-02-22 12:00:00
model,v02
rolling sortinos,"                                 SEED       HEGIC         GNS         HDN       DOLA        USD+
hour                                                                                            
2025-02-21 11:00:00+00:00    0.000000    0.000000    0.000000   -1.950441   0.000000  -18.376514
2025-02-21 12:00:00+00:00    0.000000   79.256882    0.000000   -2.735880 -11.554831  131.482024
2025-02-21 13:00:00+00:00  406.166105    0.000000    0.000000   -3.190613  -9.736697   -4.428843
2025-02-21 14:00:00+00:00   57.261083    0.000000    0.000000   -3.091294  -6.721812    5.041936
2025-02-21 15:00:00+00:00  122.276849  168.395911    0.000000   -3.339693   6.857025   -2.161706
2025-02-21 16:00:00+00:00   -1.674208   90.368601    0.000000   -4.556849  -0.572016    1.143708
2025-02-21 17:00:00+00:00   -3.947088   98.063368   -2.496405   -4.463573   2.590388   -6.283007
2025-02-21 18:00:00+00:00   -3.930443   -6.773517   -3.728974   -1.203756   8.107277   -1.452388
2025-02-21 19:00:00+00:00   -3.331855   -7.399057   -4.150593   -1.522283  14.019874   -4.076471
2025-02-21 20:00:00+00:00   -3.370892   -7.549205   -4.208382    1.642296  -3.691199   -0.065471
2025-02-21 21:00:00+00:00   -3.428292   -4.930510   -3.532348   -0.357869  -6.069178   -2.568021
2025-02-21 22:00:00+00:00   -4.216653   -4.333157   -4.125884   -1.562502  -0.587598   18.370517
2025-02-21 23:00:00+00:00   -4.192846   -4.570505   -4.168783   -4.554317  -0.623526   14.139141
2025-02-22 00:00:00+00:00   -0.002456   -4.455455   -5.003720   51.797056   0.162547   19.639381
2025-02-22 01:00:00+00:00    1.742645   -4.394431   -3.837882   53.605382  -0.172295    1.526753
2025-02-22 02:00:00+00:00  177.798720   -3.574853  839.654000   96.474470  32.294260   21.144078
2025-02-22 03:00:00+00:00    0.000000   17.599909  839.654000  130.482408   4.287693   14.365334
2025-02-22 04:00:00+00:00  913.885675  114.788613    9.580572  103.690408  10.397001   -1.983060
2025-02-22 05:00:00+00:00   30.355492   29.578265   25.820197   -6.786443  -2.728229   -6.973619
2025-02-22 06:00:00+00:00   26.236422    6.514043   25.567157   -5.599624  -0.448648    0.866942
2025-02-22 07:00:00+00:00    9.515996   -7.103396    9.420495    0.376378   1.118497   -4.453166
2025-02-22 08:00:00+00:00   45.987937   -5.726236    9.420495    0.558967  13.509386    5.737293
2025-02-22 09:00:00+00:00   53.210236   -4.496989  831.425317   -2.322707 -10.120413   -3.769771
2025-02-22 10:00:00+00:00    0.000000    0.535773   -0.747397   -2.788357  -2.315711    4.288532"
classifier data,"  symbol                               token_address               latest_hour  ...      volume  average_order  __row_index
0   SEED  0x86f65121804d2cdbef79f9f072d4e0c2eebabc08 2025-02-22 10:00:00+00:00  ...   239616.35     868.175181            0
1  HEGIC  0x431402e8b9de9aa016c743880e04e517074d8cec 2025-02-22 10:00:00+00:00  ...  1540740.59    4465.914754            1
2    GNS  0x18c11fd286c5ec11c3b683caa813b77f5163a122 2025-02-22 10:00:00+00:00  ...  4493269.25     284.798710            2
3    HDN  0x3404149e9ee6f17fb41db1ce593ee48fbdcd9506 2025-02-22 10:00:00+00:00  ...    61441.98     139.324218            3
4   DOLA  0x6a7661795c374c0bfc635934efaddff3a7ee23b6 2025-02-22 10:00:00+00:00  ...   301178.45    1270.795148            4
5   USD+  0xe80772eaf6e2e18b651f160bc9158b2a5cafca65 2025-02-22 10:00:00+00:00  ...   977916.24      84.984465            5

[6 rows x 11 columns]"
sortino_ratio_df,"   index  Sortino Ratio
0   DOLA       0.542983
1   SEED      -0.444559
2   USD+      -0.537082
3  HEGIC      -1.790752
4    HDN      -2.805761
5    GNS      -3.000639"
network,arbitrum
backtest_period,24
days,30
window,5
normalized_value,100
